route_long_name,route_short_name,agency_id,route_desc,route_type,route_id
9th Block Jayanagara (40th Cross) → Vijayanagara Garage (JNN-VTTMC),60-A,BMTC,"Via Jayanagara Church, Sirsi Circle",3,13991
ADMC Quarters Office → Kempegowda Bus Station (ADMC-KBS),300-H,BMTC,"Via Coles Park, Ramamurthy Nagara Police Station, Jai Bharath Nagara, Indian Express",3,13607
ADMC Quarters Office → Krishnaraja Pura Govt Hospital (ADMC-KRPGH),ADMC-KRPGH,BMTC,"Via Ramamurthy Nagara Alada Mara, Banasawadi",3,13679
AECS Layout Singasandra → KR Market (Kalasipalya) (AECSLS-KMT),347-K,BMTC,"Via Madivala, Lalbagh Main Gate, Bommanahalli",3,6613
AECS Layout Singasandra → Kempegowda Bus Station (AECSLS-KBS),347-N,BMTC,"Via Madivala, Bommanahalli, Wilson Garden Police Station",3,6638
AGS Layout Arehalli → Kempegowda Bus Station (AGSLA-KBS),45-D,BMTC,"Via KR Market, Ittamadu, Nirmala Store",3,3092
AGS Layout Arehalli → Shivajinagara Bus Station (AGSL-SBS),13-H,BMTC,"Via Jayanagara Bus Station, Shanthinagara Bus Station, Banashankari Bus Station",3,2863
AGS Layout → Kempegowda Bus Station (AGSLO-KBS),234-F,BMTC,"Via MG Statue (Chinnaswamy Stadium), KR Market",3,9071
ARMY Public School ASC Center → HSR Layout KEB (ARMYASC-HSR KEB),G-2,BMTC,"Via Sony World 100ft Road  Koramangala, Kaikondrahalli",3,14075
ARMY Public School ASC Center → Sarjapura (ARMYASC-SJP),G-2,BMTC,"Via Sony World 100ft Road  Koramangala, Kaikondrahalli",3,14053
Abbaiah Layout → Depot-06 Gate (ABHL),314-X D06G-ABYL,BMTC,Via BEML Gate,3,5936
Abbaiah Layout → Kempegowda Bus Station (ABL-KBS),314-X,BMTC,"Via Halasuru, BEML Gate, Malleshpalya New Bus Station(Vignananagar)",3,5824
Abbigere → KR Market (ABG-KMT),271-A,BMTC,"Via Kammagondanahalli Rama Temple, Kammagondanahalli Bridge, Mathikere, Gangamma Circle",3,13033
Abbigere → Kempegowda Bus Station (ABG-KBS),273-B,BMTC,"Via Malleshwara Circle, Kammagonda‌nahalli Bridge, Mathikere",3,8925
Abbigere → Kempegowda Bus Station (ABGR-KBS),271-A,BMTC,"Via Kammagondanahalli Rama Temple, Kammagondanahalli Bridge, Mathikere, Gangamma Circle",3,7264
Abbigere → Peenya 2nd stage (ABG-PSS),401-AK,BMTC,"Via Singapura, Venkatala, Abbigere, NES Office, MS Palya",3,7265
Abbigere → Shivajinagara Bus Station (ABG-SBS),270-D,BMTC,"Via Mathikere, Kammagondanahalli Rama Temple, CPRI, JC Nagara",3,8862
Adigondanahalli → Kempegowda Bus Station (ADGH-KBS),359-A,BMTC,"Via Electronic City, Guddahatti, Madivala, Shanthinagara Bus Station",3,9062
