stop_name,stop_id,stop_lat,stop_lon
Sadashivanagara Police Station,21099,13.01587,77.57277
Sadenahalli,28098,13.19463,77.57269
Sadenahalli,34446,13.19467,77.57277
Sadhanapalya,28100,12.76873,77.48298
Sadhanapalya,34447,12.76858,77.48288
Sadhanapalya Gate,23605,12.76807,77.48881
Sadhanapalya Gate,23627,12.76801,77.48864
Sadhapanalli Gate,28102,13.16304,77.79279
Sadhapanalli Gate,34448,13.16298,77.79275
Safal Market,22439,13.03799,77.75976
Safal Market,22440,13.03799,77.75986
Sagar Hospital,28104,12.92848,77.59962
Sagar Hospital,34449,12.92832,77.59936
Sahakara Nagara,34450,13.06473,77.58385
Sahakara Nagara Police Station,23523,13.06414,77.58336
Sahakara Nagara Police Station,24113,13.06409,77.58348
Sahakara Nagara Post Office,23525,13.06133,77.58736
Sahakara Nagara Post Office,27735,13.06142,77.58731
Sahukarapalya,28108,13.06533,77.28899
Sahukarapalya,34451,13.06512,77.28903
Sai Baba General Hospital,22441,12.97454,77.75065
Sai Baba General Hospital,22442,12.97383,77.75042
Sai Baba Temple (Avathi),28112,13.2829,77.72301
Sai Baba Temple (Avathi),34453,13.2829,77.72277
Sai Lakshmi Industries,22443,13.02454,77.76162
Sai Lakshmi Industries,22444,13.02458,77.76173
Sajjan Rao Circle,22445,12.95262,77.57653
Sajjan Rao Circle,22679,12.95301,77.57738
Sajjan Rao Circle,28115,12.95233,77.57713
Sakalavara,28116,12.8207,77.60905
Sakalavara,35224,12.82073,77.60909
Sakamma Layout,28118,13.00723,77.52867
Sakamma Layout,34455,13.00719,77.52873
Salarpuria Apartment,38140,12.90692,77.63254
Salarpuria Apartment,38141,12.90696,77.63256
Saluhunase,22446,12.81095,77.51157
Saluhunase,22447,12.81079,77.51148
Samanahalli,28123,12.83268,77.74766
Samanahalli 1,31408,12.8327,77.74768
Samanduru,28125,12.71526,77.753
Samanduru,34458,12.71526,77.75291
Sambhram College,28127,13.08827,77.54666
Sambhram College,34459,13.0883,77.54669
Samethanahalli,22448,12.98027,77.78987
Samethanahalli,22449,12.98027,77.78981
Sampangere,28129,12.87447,77.88289
Sampangere,34460,12.87444,77.88294
Sampangiram Nagara,23779,12.8254,77.58623
Sampangiram Nagara,24133,12.82495,77.58593
Sampige Nagara,28131,12.83455,77.69733
Sampige Nagara,35305,12.83451,77.69736
Sampige Nagara 1,35681,12.83929,77.69798
Sampige Nagara Gate,24248,12.83936,77.69793
Sampigehalli,28133,13.08187,77.61784
Sampigehalli,34462,13.08187,77.61792
Sampigehalli Bannerughatta,35054,12.80536,77.57887
Sampigehalli Bannerughatta,35280,12.80519,77.57879
Sangam Circle,21148,12.91704,77.57875
Sangam Circle,21149,12.91763,77.57733
Sangam Circle,37083,12.91756,77.57789
Sanjay Gandhi Hospital,35099,12.92707,77.59309
Sanjay Gandhi Hospital,35205,12.927,77.59299
Sanjay Gandhi Hospital,38115,12.92687,77.5936
Sanjay Gandhi Nagara,24010,13.01872,77.52633
Sanjayanagara,21150,13.03421,77.57565
Sanjayanagara,21151,13.03404,77.57571
Sanjeeva Nagara,28138,13.28564,77.53651
Sanjeeva Nagara,34464,13.28563,77.53656
Sanjeevanapalya,28140,13.0808,77.15454
SanjeeviniNagara,28141,13.05759,77.59144
SanjeeviniNagara,35275,13.05763,77.59146
Sanna Amanikere,28143,13.23419,77.6946
Sanna Amanikere,34466,13.23411,77.69477
Sannathammanahalli,22452,13.04814,77.76054
Sannathammanahalli,22453,13.04778,77.76062
Santekatte,23603,12.80664,77.51056
Santekatte,23635,12.8067,77.51063
Santhe Devanagondhi,28145,12.96581,77.83936
Santhe Devanagondhi,34467,12.96585,77.83932
Santhe Gate,22454,13.07669,77.79532
Santhe Gate,28146,13.07696,77.79507
Sapalamma Devi Temple,28148,13.09802,77.91101
Sapthagiri Badavane,37325,12.92218,77.53451
Sapthagiri Badavane,37326,12.9222,77.53457
Sapthagiri College,21154,13.06685,77.50328
Sapthagiri College,21155,13.06675,77.50335
Sapthagiri Convention Hall,22455,13.05027,77.75648
Sapthagiri Convention Hall,22456,13.0509,77.75676
Sapthagiri Hospital,21156,13.07067,77.50387
Sapthagiri Hospital,21157,13.07066,77.50395
Sapthagiri Layout,22457,13.10458,77.61045
Sapthagiri Layout,22458,13.1045,77.6106
Sarakari Guttahalli Cross,28157,13.04637,77.7849
Sarakari Guttahalli Cross,34470,13.04632,77.78485
Sarakki,22459,12.9097,77.57299
Sarakki,22460,12.90966,77.57288
Sarakki Junction,28159,12.90646,77.57306
Sarakki Signal,28162,12.9067,77.57334
Sarakki Signal,34472,12.90657,77.57367
Sarakki Signal,34473,12.90639,77.57373
Sarala Birla Academy,24076,12.81171,77.58446
